daily_rate,hotel_type,is_canceled,days_in_advance,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
37.8,Resort Hotel,yes,75,2016,December,50,6,0,5,2,0,0,0,0,0,A,A,0,No Deposit,0,0,No-Show,2016-12-06
73.8,Resort Hotel,yes,76,2016,December,52,24,1,1,2,0,0,0,0,0,G,G,0,No Deposit,0,2,Canceled,2016-10-31
48,Resort Hotel,yes,40,2017,February,7,12,2,3,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Canceled,2017-01-03
48,Resort Hotel,yes,40,2017,February,7,12,2,3,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Canceled,2017-01-03
42,Resort Hotel,yes,73,2017,February,8,19,2,1,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Canceled,2016-12-08
33.3,Resort Hotel,yes,211,2017,March,10,9,0,1,1,0,0,0,0,0,A,A,0,No Deposit,0,0,No-Show,2017-03-09
42,Resort Hotel,yes,133,2017,March,11,13,1,0,2,0,0,0,0,0,A,A,2,No Deposit,0,2,Canceled,2016-11-03
54,Resort Hotel,yes,255,2017,April,14,3,1,0,2,0,0,0,0,0,A,A,0,No Deposit,0,2,Canceled,2017-01-08
68.57,Resort Hotel,yes,192,2017,April,14,4,2,5,2,0,0,0,0,0,D,D,0,No Deposit,0,1,Canceled,2016-09-25
98.33,Resort Hotel,yes,55,2017,April,15,14,1,2,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Canceled,2017-02-20
100,Resort Hotel,yes,28,2017,April,16,19,0,2,2,0,0,0,0,0,D,D,0,No Deposit,0,1,Canceled,2017-03-24
111,Resort Hotel,yes,16,2017,April,17,29,1,1,2,0,0,0,0,0,D,D,0,No Deposit,0,0,Canceled,2017-04-18
115,Resort Hotel,yes,94,2017,May,18,3,0,2,2,0,0,0,0,0,E,E,0,No Deposit,0,2,Canceled,2017-04-10
85,Resort Hotel,yes,7,2017,May,19,9,0,2,1,0,0,0,0,0,A,A,0,No Deposit,0,1,Canceled,2017-05-02
85,Resort Hotel,yes,7,2017,May,19,9,0,2,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Canceled,2017-05-02
76.5,Resort Hotel,yes,201,2017,May,19,13,1,1,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Canceled,2016-10-26
76.5,Resort Hotel,yes,201,2017,May,19,13,1,1,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Canceled,2016-10-26
76.5,Resort Hotel,yes,201,2017,May,19,13,1,1,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Canceled,2016-10-26
130,Resort Hotel,yes,259,2017,May,21,21,2,2,2,2,0,0,0,0,G,G,0,No Deposit,0,0,Canceled,2016-11-23
190,Resort Hotel,yes,16,2017,May,21,25,0,3,2,1,0,0,0,0,F,F,0,No Deposit,0,0,Canceled,2017-05-10
120,Resort Hotel,yes,2,2017,June,22,3,1,1,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Canceled,2017-06-02
202,Resort Hotel,yes,12,2017,June,24,13,0,3,2,0,0,0,0,0,E,E,0,No Deposit,0,1,Canceled,2017-06-02
140,Resort Hotel,yes,175,2017,June,24,14,0,3,2,0,0,0,0,0,E,E,0,No Deposit,0,1,Canceled,2017-03-08
311,Resort Hotel,yes,77,2017,June,24,17,2,5,2,2,0,0,0,0,G,G,1,No Deposit,0,2,Canceled,2017-04-04
288,Resort Hotel,yes,57,2017,June,25,20,0,3,2,2,0,0,0,0,G,G,0,No Deposit,0,0,Canceled,2017-04-24
127.8,Resort Hotel,yes,244,2017,June,25,22,1,3,2,0,0,0,0,0,A,A,0,No Deposit,0,2,Canceled,2017-06-09
127.8,Resort Hotel,yes,244,2017,June,25,22,1,3,2,0,0,0,0,0,A,A,0,No Deposit,0,2,Canceled,2017-06-09
209,Resort Hotel,yes,103,2017,June,26,25,2,1,2,0,0,0,0,0,G,G,2,No Deposit,0,1,Canceled,2017-06-19
120,Resort Hotel,yes,116,2017,June,26,26,1,3,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Canceled,2017-03-21
250,Resort Hotel,yes,59,2017,July,26,1,2,1,2,2,0,0,0,0,G,G,0,No Deposit,0,0,Canceled,2017-05-06
180,Resort Hotel,yes,171,2017,July,27,2,2,1,2,2,0,0,0,0,G,G,0,No Deposit,0,0,Canceled,2017-01-12
140,Resort Hotel,yes,133,2017,July,27,3,1,1,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Canceled,2017-05-08
198.33,Resort Hotel,yes,135,2017,July,28,14,1,2,2,2,0,0,0,0,C,C,0,No Deposit,0,2,No-Show,2017-07-14
192.5,Resort Hotel,yes,4,2017,July,30,28,0,2,2,0,0,0,0,0,A,A,0,No Deposit,0,2,Canceled,2017-07-28
269,Resort Hotel,yes,119,2017,August,31,5,2,2,2,2,0,0,0,0,C,C,0,No Deposit,0,2,Canceled,2017-04-20
220,Resort Hotel,yes,153,2017,August,32,8,0,1,2,0,0,0,0,0,D,D,0,No Deposit,0,1,Canceled,2017-07-11
300,Resort Hotel,yes,161,2017,August,32,11,1,2,2,2,0,0,0,0,G,G,1,No Deposit,0,1,Canceled,2017-07-06
204.67,Resort Hotel,yes,188,2017,August,33,14,1,2,2,0,0,0,0,0,E,E,0,No Deposit,0,1,Canceled,2017-03-03
265,Resort Hotel,yes,76,2017,August,33,18,2,3,2,0,0,0,0,0,E,E,0,No Deposit,0,1,Canceled,2017-08-04
238,Resort Hotel,yes,160,2017,August,33,19,2,3,2,0,0,0,0,0,E,E,0,No Deposit,0,0,Canceled,2017-03-12
238,Resort Hotel,yes,160,2017,August,33,19,2,3,2,0,0,0,0,0,E,E,0,No Deposit,0,0,Canceled,2017-03-12
240,Resort Hotel,yes,17,2017,August,34,26,1,1,2,0,0,0,0,0,D,D,0,No Deposit,0,2,Canceled,2017-08-23
290,Resort Hotel,yes,51,2017,August,35,27,2,0,2,2,0,0,0,0,G,G,0,No Deposit,0,1,Canceled,2017-07-11
290,Resort Hotel,yes,51,2017,August,35,27,2,0,2,2,0,0,0,0,G,G,0,No Deposit,0,1,Canceled,2017-07-07
233.33,Resort Hotel,yes,74,2017,August,35,30,0,3,2,2,0,0,0,0,C,C,0,No Deposit,0,1,Canceled,2017-08-04
218.6,Resort Hotel,no,49,2016,August,36,29,2,5,2,0,0,1,0,1,D,D,1,No Deposit,1,0,Check-Out,2016-09-05
57.2,Resort Hotel,no,17,2016,January,1,2,2,1,2,0,0,0,0,0,E,E,1,No Deposit,0,1,Check-Out,2016-01-05
31.2,Resort Hotel,no,0,2016,January,2,8,0,1,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Check-Out,2016-01-09
48,Resort Hotel,no,0,2016,January,2,4,2,5,2,0,0,0,0,0,A,D,5,No Deposit,0,0,Check-Out,2016-01-11
69.2,Resort Hotel,no,11,2016,January,2,8,1,2,2,0,0,0,0,0,E,E,0,No Deposit,1,1,Check-Out,2016-01-11
52.8,Resort Hotel,no,3,2016,January,2,8,1,2,2,0,0,0,0,0,E,E,0,No Deposit,0,0,Check-Out,2016-01-11
38,Resort Hotel,no,0,2016,January,2,7,2,4,2,0,0,0,0,0,A,A,4,No Deposit,0,0,Check-Out,2016-01-13
45,Resort Hotel,no,1,2016,January,4,22,0,2,2,0,0,0,0,0,A,D,0,No Deposit,0,0,Check-Out,2016-01-24
39,Resort Hotel,no,0,2016,February,6,3,1,4,2,0,0,0,0,0,A,A,2,No Deposit,0,2,Check-Out,2016-02-08
58,Resort Hotel,no,0,2016,February,7,12,0,1,2,0,0,0,0,0,A,E,0,No Deposit,0,0,Check-Out,2016-02-13
46,Resort Hotel,no,0,2016,February,8,20,0,1,2,0,0,0,0,0,D,D,0,No Deposit,1,0,Check-Out,2016-02-21
36.96,Resort Hotel,no,24,2016,February,9,22,1,1,2,0,0,0,0,0,A,A,0,No Deposit,0,2,Check-Out,2016-02-24
36.96,Resort Hotel,no,24,2016,February,9,22,1,1,2,0,0,0,0,0,A,A,0,No Deposit,0,2,Check-Out,2016-02-24
43,Resort Hotel,no,4,2016,March,13,20,2,1,2,0,0,0,0,0,D,D,0,No Deposit,1,0,Check-Out,2016-03-23
97.5,Resort Hotel,no,6,2016,March,14,28,1,3,2,0,0,0,0,0,E,E,1,No Deposit,1,0,Check-Out,2016-04-01
87,Resort Hotel,no,2,2016,April,15,4,1,1,2,0,0,0,0,0,E,E,0,No Deposit,0,1,Check-Out,2016-04-06
85,Resort Hotel,no,1,2016,April,15,6,0,2,2,0,0,0,0,0,E,E,0,No Deposit,0,1,Check-Out,2016-04-08
101,Resort Hotel,no,19,2016,April,15,7,1,3,2,0,0,0,0,0,F,F,0,No Deposit,1,0,Check-Out,2016-04-11
146.38,Resort Hotel,no,26,2016,April,15,9,2,2,3,1,0,0,0,0,H,H,3,No Deposit,1,1,Check-Out,2016-04-13
136,Resort Hotel,no,27,2016,April,16,10,2,2,3,1,0,0,0,0,G,H,3,No Deposit,1,0,Check-Out,2016-04-14
96.25,Resort Hotel,no,8,2016,April,16,14,0,1,1,0,0,0,0,0,G,G,0,No Deposit,0,0,Check-Out,2016-04-15
117,Resort Hotel,no,79,2016,April,17,22,1,2,2,0,0,0,0,0,G,G,0,No Deposit,0,0,Check-Out,2016-04-25
102,Resort Hotel,no,79,2016,April,17,22,1,2,2,0,0,0,0,0,F,F,0,No Deposit,1,0,Check-Out,2016-04-25
50.05,Resort Hotel,no,9,2016,April,18,25,1,1,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2016-04-27
78.31,Resort Hotel,no,113,2016,April,18,26,0,2,1,0,0,0,0,0,G,G,1,No Deposit,0,1,Check-Out,2016-04-28
78.31,Resort Hotel,no,113,2016,April,18,26,0,2,2,0,0,0,0,0,G,G,0,No Deposit,0,1,Check-Out,2016-04-28
52.2,Resort Hotel,no,179,2016,April,18,27,0,2,2,0,0,0,0,0,A,D,0,No Deposit,0,1,Check-Out,2016-04-29
58.2,Resort Hotel,no,179,2016,April,18,27,0,2,2,0,0,0,0,0,A,D,0,No Deposit,1,1,Check-Out,2016-04-29
91,Resort Hotel,no,1,2016,April,18,27,0,3,1,0,0,0,0,0,E,E,0,No Deposit,1,1,Check-Out,2016-04-30
37.1,Resort Hotel,no,33,2016,April,18,25,1,4,1,0,0,0,0,0,A,A,0,No Deposit,0,0,Check-Out,2016-04-30
85,Resort Hotel,no,0,2016,April,18,30,0,1,2,0,0,0,0,0,E,E,0,No Deposit,0,0,Check-Out,2016-05-01
115,Resort Hotel,no,0,2016,May,19,1,1,0,2,0,0,0,0,0,F,F,0,No Deposit,0,1,Check-Out,2016-05-02
72,Resort Hotel,no,13,2016,May,19,1,2,0,2,0,0,0,0,0,D,D,0,No Deposit,0,0,Check-Out,2016-05-03
75.83,Resort Hotel,no,67,2016,May,19,6,2,4,2,0,0,0,0,0,D,D,0,No Deposit,0,1,Check-Out,2016-05-12
34,Resort Hotel,no,77,2016,May,20,10,0,5,2,0,0,0,0,0,F,F,0,No Deposit,1,1,Check-Out,2016-05-15
56,Resort Hotel,no,68,2016,May,21,20,1,2,2,0,0,0,0,0,A,A,1,No Deposit,0,0,Check-Out,2016-05-23
65.7,Resort Hotel,no,129,2016,May,22,22,2,1,2,0,0,0,0,0,D,E,0,No Deposit,0,2,Check-Out,2016-05-25
111,Resort Hotel,no,40,2016,May,22,23,1,1,2,0,0,0,0,0,E,F,1,No Deposit,1,2,Check-Out,2016-05-25
71.7,Resort Hotel,no,129,2016,May,22,22,2,1,2,0,0,0,0,0,D,E,0,No Deposit,1,2,Check-Out,2016-05-25
105,Resort Hotel,no,49,2016,May,22,25,0,1,2,0,0,0,0,0,F,F,0,No Deposit,0,1,Check-Out,2016-05-26
105,Resort Hotel,no,49,2016,May,22,25,0,1,2,0,0,0,0,0,F,F,0,No Deposit,0,1,Check-Out,2016-05-26
121,Resort Hotel,no,39,2016,May,22,28,1,1,2,0,0,0,0,0,F,F,0,No Deposit,0,1,Check-Out,2016-05-30
145,Resort Hotel,no,5,2016,May,22,28,1,1,2,2,0,0,0,0,G,G,0,No Deposit,0,0,Check-Out,2016-05-30
68,Resort Hotel,no,136,2016,May,23,29,2,0,2,0,0,0,0,0,D,D,0,No Deposit,1,0,Check-Out,2016-05-31
145,Resort Hotel,no,59,2016,May,23,29,2,0,3,0,0,0,0,0,G,G,3,No Deposit,0,0,Check-Out,2016-05-31
95,Resort Hotel,no,65,2016,May,23,30,1,1,2,0,0,0,0,0,E,E,0,No Deposit,0,0,Check-Out,2016-06-01
161,Resort Hotel,no,1,2016,June,23,2,0,2,1,0,0,0,0,0,F,F,0,No Deposit,1,0,Check-Out,2016-06-04
124,Resort Hotel,no,2,2016,June,23,4,0,1,2,0,0,0,0,0,D,D,0,No Deposit,0,0,Check-Out,2016-06-05
168.33,Resort Hotel,no,34,2016,June,23,2,0,3,2,0,0,0,0,0,F,F,0,No Deposit,1,0,Check-Out,2016-06-05
157,Resort Hotel,no,34,2016,June,23,2,0,3,2,0,0,0,0,0,F,F,0,No Deposit,0,0,Check-Out,2016-06-05
61.6,Resort Hotel,no,129,2016,June,24,5,2,1,2,0,0,0,0,0,A,A,0,No Deposit,0,2,Check-Out,2016-06-08
135,Resort Hotel,no,124,2016,June,24,6,1,1,3,0,0,0,0,0,C,C,1,No Deposit,0,2,Check-Out,2016-06-08
135,Resort Hotel,no,124,2016,June,24,6,1,1,3,0,0,0,0,0,C,C,1,No Deposit,0,2,Check-Out,2016-06-08
120,Resort Hotel,no,0,2016,June,23,4,2,3,2,0,0,0,0,0,F,G,1,No Deposit,0,0,Check-Out,2016-06-09
109,Resort Hotel,no,0,2016,June,25,13,1,0,1,0,0,0,0,0,A,B,0,No Deposit,0,0,Check-Out,2016-06-14
159,Resort Hotel,no,0,2016,June,25,13,1,0,2,0,0,0,0,0,F,F,0,No Deposit,1,0,Check-Out,2016-06-14
149.52,Resort Hotel,no,74,2016,June,25,13,1,1,2,0,0,0,0,0,G,G,2,No Deposit,1,1,Check-Out,2016-06-15
164,Resort Hotel,no,56,2016,June,25,13,1,1,3,0,0,0,0,0,A,A,1,No Deposit,0,1,Check-Out,2016-06-15
129,Resort Hotel,no,56,2016,June,25,13,1,1,2,0,0,0,0,0,A,A,1,No Deposit,0,1,Check-Out,2016-06-15
118.5,Resort Hotel,no,160,2016,June,25,13,2,5,2,0,0,0,0,0,D,D,1,No Deposit,0,2,Check-Out,2016-06-20
184.33,Resort Hotel,no,5,2016,June,26,20,1,2,2,0,0,0,0,0,F,F,1,No Deposit,1,2,Check-Out,2016-06-23
116.5,Resort Hotel,no,161,2016,June,25,15,2,4,2,0,0,0,0,0,E,E,0,No Deposit,1,3,Check-Out,2016-06-21
121,Resort Hotel,no,57,2016,June,25,17,2,2,2,1,0,0,0,0,A,A,1,No Deposit,1,1,Check-Out,2016-06-21
98.75,Resort Hotel,no,57,2016,June,25,17,2,2,2,0,0,0,0,0,A,A,1,No Deposit,0,1,Check-Out,2016-06-21
189,Resort Hotel,no,48,2016,June,26,20,1,1,2,2,0,0,0,0,G,G,0,No Deposit,0,0,Check-Out,2016-06-22
201,Resort Hotel,no,48,2016,June,26,20,1,1,2,2,0,0,0,0,G,G,0,No Deposit,1,0,Check-Out,2016-06-22
139,Resort Hotel,no,0,2016,June,26,22,0,1,2,0,0,0,0,0,E,E,0,No Deposit,1,0,Check-Out,2016-06-23
186,Resort Hotel,no,8,2016,June,26,23,0,2,2,3,0,0,0,0,H,H,0,No Deposit,1,0,Check-Out,2016-06-25
98.4,Resort Hotel,no,3,2016,June,26,25,0,1,2,0,0,0,0,0,A,C,0,No Deposit,1,0,Check-Out,2016-06-26
130.13,Resort Hotel,no,25,2016,June,26,25,1,1,2,0,0,0,0,0,F,F,0,No Deposit,0,1,Check-Out,2016-06-27
107.1,Resort Hotel,no,170,2016,July,27,2,0,1,2,0,0,0,0,0,A,E,0,No Deposit,0,2,Check-Out,2016-07-03
119.1,Resort Hotel,no,170,2016,July,27,2,0,1,2,0,0,0,0,0,A,F,0,No Deposit,1,2,Check-Out,2016-07-03
95.64,Resort Hotel,no,0,2016,July,28,3,1,0,2,0,0,0,0,0,A,A,0,No Deposit,1,0,Check-Out,2016-07-04
131,Resort Hotel,no,25,2016,July,28,3,1,0,2,0,0,0,0,0,A,A,0,No Deposit,1,1,Check-Out,2016-07-04
150.92,Resort Hotel,no,29,2016,July,28,5,0,1,2,0,0,0,0,0,C,C,0,No Deposit,0,1,Check-Out,2016-07-06
219,Resort Hotel,no,8,2016,July,28,5,0,2,3,1,0,0,0,0,G,G,0,No Deposit,0,0,Check-Out,2016-07-07
224,Resort Hotel,no,8,2016,July,28,5,0,2,2,2,0,0,0,0,H,H,0,No Deposit,0,0,Check-Out,2016-07-07
190,Resort Hotel,no,61,2016,July,28,5,0,2,2,2,0,0,0,0,C,C,0,No Deposit,0,1,Check-Out,2016-07-07
192,Resort Hotel,no,61,2016,July,28,5,0,2,2,0,0,0,0,0,F,F,1,No Deposit,1,1,Check-Out,2016-07-07
134.43,Resort Hotel,no,14,2016,July,28,7,0,2,2,0,0,0,0,0,A,A,0,No Deposit,1,1,Check-Out,2016-07-09
146.3,Resort Hotel,no,30,2016,July,28,7,0,3,1,0,0,0,0,0,E,G,0,No Deposit,0,1,Check-Out,2016-07-10
161,Resort Hotel,no,0,2016,July,29,13,0,1,2,0,0,0,0,0,D,D,0,No Deposit,0,0,Check-Out,2016-07-14
161,Resort Hotel,no,2,2016,July,29,14,0,1,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Check-Out,2016-07-15
212,Resort Hotel,no,38,2016,July,29,12,0,3,2,0,0,0,0,0,F,F,0,No Deposit,1,1,Check-Out,2016-07-15
151,Resort Hotel,no,0,2016,July,29,15,0,1,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Check-Out,2016-07-16
155.1,Resort Hotel,no,25,2016,July,29,15,0,1,2,0,0,0,0,0,A,A,0,No Deposit,1,0,Check-Out,2016-07-16
186.5,Resort Hotel,no,22,2016,July,29,14,1,3,2,2,0,0,0,0,C,C,1,No Deposit,0,0,Check-Out,2016-07-18
167.21,Resort Hotel,no,14,2016,July,30,18,1,1,2,0,0,0,0,0,D,G,0,No Deposit,0,0,Check-Out,2016-07-20
230,Resort Hotel,no,97,2016,July,30,21,0,1,2,0,0,0,0,0,E,E,6,No Deposit,0,2,Check-Out,2016-07-22
160,Resort Hotel,no,94,2016,July,30,20,0,2,2,0,0,0,0,0,A,A,1,No Deposit,0,1,Check-Out,2016-07-22
208,Resort Hotel,no,130,2016,July,31,25,1,2,4,0,0,0,0,0,A,C,4,No Deposit,0,0,Check-Out,2016-07-28
157.85,Resort Hotel,no,61,2016,July,31,26,0,2,2,0,0,0,0,0,F,F,0,No Deposit,0,1,Check-Out,2016-07-28
213.75,Resort Hotel,no,92,2016,July,31,26,0,4,2,0,0,0,0,0,D,D,0,No Deposit,0,1,Check-Out,2016-07-30
221,Resort Hotel,no,1,2016,July,31,30,0,1,2,0,0,0,0,0,D,D,0,No Deposit,0,1,Check-Out,2016-07-31
194,Resort Hotel,no,38,2016,July,31,28,0,2,2,0,0,0,0,0,D,D,0,No Deposit,0,1,Check-Out,2016-07-30
194,Resort Hotel,no,1,2016,July,31,30,0,1,2,0,0,0,0,0,D,D,0,No Deposit,0,1,Check-Out,2016-07-31
237.75,Resort Hotel,no,0,2016,July,32,31,2,2,2,0,0,1,0,1,F,F,0,No Deposit,0,1,Check-Out,2016-08-04
221.1,Resort Hotel,no,7,2016,July,31,29,0,2,2,0,0,0,0,0,F,F,0,No Deposit,1,0,Check-Out,2016-07-31
180,Resort Hotel,no,0,2016,July,31,26,1,5,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Check-Out,2016-08-01
264,Resort Hotel,no,27,2016,July,31,29,2,2,2,2,0,0,0,0,G,G,0,No Deposit,0,0,Check-Out,2016-08-02
102.49,Resort Hotel,no,0,2016,August,32,1,1,0,2,0,0,0,0,0,A,A,0,No Deposit,1,0,Check-Out,2016-08-02
193.8,Resort Hotel,no,113,2016,July,31,26,2,5,2,0,0,0,0,0,E,E,0,No Deposit,0,2,Check-Out,2016-08-02
181.8,Resort Hotel,no,113,2016,July,31,26,2,5,2,0,0,0,0,0,E,E,0,No Deposit,0,2,Check-Out,2016-08-02
268,Resort Hotel,no,23,2016,August,32,6,2,2,3,0,0,0,0,0,A,A,1,No Deposit,1,3,Check-Out,2016-08-10
204.5,Resort Hotel,no,151,2016,August,33,8,1,2,2,0,0,0,0,0,G,G,0,No Deposit,0,0,Check-Out,2016-08-11
132.9,Resort Hotel,no,151,2016,August,33,8,1,2,2,0,0,0,0,0,A,A,0,No Deposit,0,2,Check-Out,2016-08-11
195.58,Resort Hotel,no,22,2016,August,33,12,0,1,1,0,0,0,0,0,E,E,0,No Deposit,0,1,Check-Out,2016-08-13
187.88,Resort Hotel,no,37,2016,August,33,10,0,3,3,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2016-08-13
254,Resort Hotel,no,32,2016,August,33,12,0,2,1,0,0,0,0,0,E,E,0,No Deposit,0,1,Check-Out,2016-08-14
221,Resort Hotel,no,12,2016,August,34,16,0,2,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Check-Out,2016-08-18
167.09,Resort Hotel,no,0,2016,August,35,23,0,1,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Check-Out,2016-08-24
174,Resort Hotel,no,217,2016,August,35,22,1,2,2,2,0,0,0,0,C,C,0,No Deposit,1,1,Check-Out,2016-08-25
311,Resort Hotel,no,25,2016,August,35,24,0,2,2,2,0,0,0,0,G,G,0,No Deposit,1,1,Check-Out,2016-08-26
145.53,Resort Hotel,no,69,2016,August,35,25,0,2,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2016-08-27
153.37,Resort Hotel,no,18,2016,August,35,26,0,2,2,0,0,0,0,0,D,D,1,No Deposit,1,1,Check-Out,2016-08-28
171.47,Resort Hotel,no,15,2016,August,35,27,1,1,2,0,0,0,0,0,D,D,0,No Deposit,1,1,Check-Out,2016-08-29
195.67,Resort Hotel,no,95,2016,August,36,30,0,3,2,0,0,0,0,0,F,F,1,No Deposit,0,0,Check-Out,2016-09-02
93,Resort Hotel,no,219,2016,August,36,29,1,3,2,0,0,0,0,0,A,A,0,No Deposit,1,0,Check-Out,2016-09-02
81,Resort Hotel,no,219,2016,August,36,29,1,3,2,0,0,0,0,0,A,A,0,No Deposit,0,0,Check-Out,2016-09-02
64.8,Resort Hotel,no,219,2016,August,36,29,1,3,2,0,0,0,0,0,A,A,0,No Deposit,0,1,Check-Out,2016-09-02
161,Resort Hotel,no,1,2016,September,36,2,0,1,2,0,0,0,0,0,A,A,0,No Deposit,1,1,Check-Out,2016-09-03
154,Resort Hotel,no,1,2016,September,36,3,0,1,2,0,0,0,0,0,D,D,0,No Deposit,0,1,Check-Out,2016-09-04
209.1,Resort Hotel,no,16,2016,September,36,2,0,2,2,0,0,0,0,0,G,G,0,No Deposit,1,1,Check-Out,2016-09-04
164,Resort Hotel,no,1,2016,September,36,3,0,1,2,0,0,0,0,0,D,D,0,No Deposit,0,0,Check-Out,2016-09-04
